CLASE SINIESTRO,CANTIDAD DE VEHICULOS DAÑADOS,DEPARTAMENTO,ZONA,TIPO DE VÍA,RED VIAL,COORDENADAS LATITUD,COORDENADAS  LONGITUD,CONDICIÓN CLIMÁTICA,ZONIFICACIÓN,CARACTERÍSTICAS DE VÍA,PERFIL LONGITUDINAL VÍA,SUPERFICIE DE CALZADA,¿EXISTE SEÑAL VERTICAL?,¿EXISTE SEÑAL HORIZONTAL?,CAUSA FACTOR PRINCIPAL,MTC_RVN_LONGITUD_KM,MTC_RVN_N_CARRILES_MEDIANA,MTC_RVN_SUPERFICIE_DOMINANTE,MTC_RVN_ESTADO_DOMINANTE,MTC_RVN_ES_CONCESIONADA,MTC_RVN_CONCESION_PRINCIPAL,MTC_RVN_CORREDOR_LOGISTICO,MTC_RVN_N_TRAMOS,IDH_2019,IDH_ESP_VIDA_2019,IDH_EDUC_SECUND_PCT_2019,IDH_ANIOS_EDUC_2019,IDH_INGRESO_PERCAP_2019,IDH_POBLACION_2019,MTC_DEP_RED_TOTAL_KM,MTC_DEP_NACIONAL_TOTAL_KM,MTC_DEP_DEPARTAMENTAL_TOTAL_KM,MTC_DEP_VECINAL_TOTAL_KM,MTC_DEP_PAV_TOTAL_KM,MTC_DEP_NO_PAV_TOTAL_KM,MTC_DEP_PCT_PAVIMENTADA,PER_TOTAL_PERSONAS,PER_N_CONDUCTORES,PER_N_CONDUCTORES_FUGADOS,PER_N_PEATONES,PER_N_PASAJEROS_OCUPANTES,PER_EDAD_COND_PROM,PER_EDAD_COND_MIN,PER_EDAD_COND_MAX,PER_ANY_COND_MASCULINO,PER_ANY_LIC_PROBLEMA,PER_ANY_DOSAJE_POS,PER_ANY_DOSAJE_EVALUADO,VEH_TOTAL,VEH_N_FUGADOS,VEH_ANY_FUGADO,VEH_ANY_CARGA,VEH_ANY_PUBLICO,VEH_ANY_PARTICULAR,VEH_ANY_MOTO,VEH_ANY_AUTO,VEH_ANY_CAMION_BUS,VEH_ANY_SOAT_PROBLEMA,VEH_ANY_CITV_PROBLEMA,VEH_ANY_SEGURO_PROBLEMA,HORA_NUM,FRANJA_HORARIA,ANIO,MES,DIA_MES,DIA_SEMANA,ES_FIN_SEMANA,ES_QUINCENA,REGION_NATURAL,TIENE_SEÑALIZACION,ES_VIA_MULTICARRIL,ES_DEPTO_BAJO_PAVIMENTO,CATEGORIA_SEVERIDAD,CATEGORIA_SEVERIDAD_ENC
3,1,20,2,2,4,-16.2438482,-69.0894543,0,0,2,1,2,2,2,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.4165447461855686,74.77127585660097,73.32833413464006,6.399479128468322,475.6850527085419,23516.528907922908,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,2,2,0,0,0,47.5,35.0,60.0,1.0,1.0,0.0,0.0,2,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,16,3,2024,5,19,6,1,1,2,1,0,1,LEVE,0
6,1,4,0,4,0,-15.0947834874954,-73.3310470252106,0,4,0,0,1,2,2,2,6543.555,2.0,4,4,1.0,14,33,1198.0,0.4758507620996249,73.17386745922107,59.088773356529074,7.424920913183141,718.7580349418929,663.0107066381157,12678.733000000004,1805.074000000001,1774.0339999999994,9099.625000000004,2485.375000000001,10193.358000000002,19.602707936195205,4,1,0,0,3,41.0,41.0,41.0,1.0,1.0,0.0,1.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0,2021,12,27,0,0,1,2,1,0,1,GRAVE_MORTALIDAD,2
3,2,20,0,4,1,-15.8647496,-69.9950785,0,4,7,1,2,2,2,2,7586.903,2.0,2,0,1.0,9,5,1198.0,0.6488901960567479,69.67312345830231,82.12448375199249,11.701623814093702,1230.336353415943,144745.3597430407,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,2,2,0,0,0,55.0,22.0,88.0,1.0,1.0,0.0,0.0,2,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,17,3,2024,8,26,0,0,1,2,1,0,1,LEVE,0
0,1,14,0,4,1,-11.494018696999127,-77.30373700042851,7,4,7,1,2,2,2,4,6543.555,3.0,2,0,1.0,0,30,1475.0,0.6328991168419597,79.8522840328396,72.51785912375117,8.65057438382499,1190.6734036432963,65701.61456102783,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,2,1,0,1,0,54.0,54.0,54.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,3,2021,3,30,1,0,1,0,1,1,1,LEVE,0
3,2,1,0,4,1,-9.288136626822714,-77.63937597094557,7,4,0,1,2,1,1,2,9936.932,2.0,2,0,1.0,9,32,3830.0,0.4417978785654807,76.31392662811923,65.39926158086051,5.973553738239588,601.902730052373,15832.591006423983,10767.648,1885.0630000000003,1222.721,7659.864000000001,2100.343,8667.305000000002,19.506051832303577,3,2,0,0,1,46.5,41.0,52.0,1.0,0.0,0.0,0.0,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0,2022,2,7,0,0,0,0,1,0,1,LEVE,0
6,1,3,2,2,4,-16.3146098,-72.1650987,0,0,1,0,2,2,2,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6077843615696785,76.53072135400231,69.81276959706165,8.77367759087771,1135.5159013374655,74658.55888650964,10322.272,1495.236,1749.739,7077.2970000000005,2886.595,7435.677000000001,27.964725207783708,1,1,0,0,0,49.0,49.0,49.0,1.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,2023,6,25,6,1,1,0,1,0,1,LEVE,0
1,1,14,2,2,4,-12.02564931,-76.90920613,0,1,1,1,2,2,2,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.6868549636939637,79.62363164345142,76.30894566128948,9.209137883551294,1425.4498631666322,684921.8484148846,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,2,1,1,1,0,37.0,33.0,40.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,3,2023,8,20,6,1,1,0,1,0,1,LEVE,0
3,1,11,0,4,1,-11.295471036196531,-75.9110748227024,0,4,0,0,2,2,2,2,9936.932,2.0,2,0,1.0,9,32,3830.0,0.3806721892335712,78.77245225217325,56.81421208719683,5.920101618692288,408.70034160859785,4341.336188436831,12264.545,1826.4639999999995,1105.5389999999998,9332.542,1588.5359999999996,10676.009,12.952261987705208,21,2,0,0,19,47.0,45.0,49.0,1.0,1.0,0.0,0.0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,3,2023,9,8,4,0,0,2,1,0,1,GRAVE_MORTALIDAD,2
2,0,14,2,2,4,-11.940693,-77.067244,0,0,1,1,2,2,2,0,6543.555,2.0,4,4,1.0,14,33,1198.0,0.7218926988400113,80.0902077245261,77.9581888264889,10.971588327733102,1458.3206086290393,530000.3426124197,7626.313,1683.4029999999998,1599.0829999999996,4343.827000000001,1814.875,5811.438000000001,23.797541485643197,2,1,1,0,1,37.0,33.0,40.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,3,2022,1,19,2,0,1,0,1,0,1,LEVE,0
3,2,20,0,4,1,-15.4093744,-70.1501147,0,4,7,1,2,2,2,2,7586.903,2.0,2,0,1.0,9,5,1198.0,0.5225679967471315,73.87568641139362,79.22999870887685,8.745562804731529,728.6643223924281,65445.28409703769,13642.312999999998,2020.7790000000005,2354.117,9267.416999999998,3314.0520000000006,10328.260999999997,24.29244952817019,3,2,0,0,1,19.0,13.0,25.0,1.0,1.0,0.0,0.0,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,2,2024,1,27,5,1,1,2,1,0,1,LEVE,0
